Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Length
208.95.112.1,192.168.1.35,TCP,80,55879,54
208.95.112.1,192.168.1.35,TCP,80,55881,58
192.168.1.35,208.95.112.1,TCP,55878,80,54
192.168.1.35,208.95.112.1,TCP,55879,80,54
192.168.1.35,172.64.155.209,UDP,65335,443,1292
192.168.1.35,208.95.112.1,TCP,55881,80,54
208.95.112.1,192.168.1.35,TCP,80,55880,58
192.168.1.35,172.64.155.209,UDP,65335,443,1292
192.168.1.35,208.95.112.1,TCP,55881,80,212
192.168.1.35,172.64.155.209,UDP,65335,443,1292
192.168.1.35,208.95.112.1,TCP,55880,80,54
192.168.1.35,172.64.155.209,UDP,65335,443,1292
192.168.1.35,208.95.112.1,TCP,55880,80,212
208.95.112.1,192.168.1.35,TCP,80,55880,54
208.95.112.1,192.168.1.35,TCP,80,55881,54
208.95.112.1,192.168.1.35,TCP,80,55880,54
208.95.112.1,192.168.1.35,TCP,80,55881,571
192.168.1.35,208.95.112.1,TCP,55881,80,54
208.95.112.1,192.168.1.35,TCP,80,55881,54
208.95.112.1,192.168.1.35,TCP,80,55880,571
192.168.1.35,172.64.155.209,UDP,65335,443,1292
192.168.1.35,208.95.112.1,TCP,55880,80,54
192.168.1.35,172.64.155.209,UDP,65335,443,1292
192.168.1.35,208.95.112.1,TCP,55882,80,66
192.168.1.35,172.64.155.209,UDP,65335,443,805
192.168.1.35,172.64.155.209,UDP,65335,443,444
208.95.112.1,192.168.1.35,TCP,80,55879,58
192.168.1.35,208.95.112.1,TCP,55883,80,66
208.95.112.1,192.168.1.35,TCP,80,55880,54
208.95.112.1,192.168.1.35,TCP,80,55881,54
208.95.112.1,192.168.1.35,TCP,80,55882,58
208.95.112.1,192.168.1.35,TCP,80,55880,54
192.168.1.35,208.95.112.1,TCP,55881,80,54
192.168.1.35,208.95.112.1,TCP,55879,80,54
192.168.1.35,208.95.112.1,TCP,55879,80,212
51.11.192.49,192.168.1.35,TCP,443,55877,523
172.64.155.209,192.168.1.35,UDP,443,65335,66
172.64.155.209,192.168.1.35,UDP,443,65335,66
192.168.1.35,208.95.112.1,TCP,55880,80,54
192.168.1.35,208.95.112.1,TCP,55882,80,54
192.168.1.35,51.11.192.49,TCP,55877,443,54
192.168.1.35,51.11.192.49,TCP,55877,443,78
192.168.1.35,208.95.112.1,TCP,55882,80,212
208.95.112.1,192.168.1.35,TCP,80,55883,58
192.168.1.35,51.11.192.49,TCP,55877,443,54
192.168.1.35,208.95.112.1,TCP,55883,80,54
